Date,Mean_PCP,Mean_Tmax,Mean_Tmin,rh,solar,wind
01-01-1979,0,19.7,8.9,0.73,0.07,6.24
02-01-1979,0,24,7.8,0.71,13.52,4.1
03-01-1979,0,21.2,8.9,0.68,13.47,4.97
04-01-1979,0,19.3,10,0.7,13.35,5.06
05-01-1979,0,16.9,8.9,0.71,13.65,4.77
06-01-1979,0,21,6.7,0.74,13.55,4.58
07-01-1979,0,23.7,6.7,0.7,13.8,4.39
08-01-1979,0,14,7.8,0.67,13.67,4.89
09-01-1979,0,20,8.9,0.66,13.62,4.99
10-01-1979,0,19.8,10,0.61,13.65,5.23
11-01-1979,0,20.2,10,0.64,13.91,5.4
12-01-1979,0,26.3,10,0.63,14.02,5.43
13-01-1979,0,22.9,8.9,0.62,13.68,4.54
14-01-1979,11.5,22.3,10,0.66,9.73,5.08
15-01-1979,14.7,16.3,10,0.83,1.29,5.31
16-01-1979,38,14,10,0.77,12.17,4
17-01-1979,25.4,17.8,8.3,0.85,5.56,3.93
18-01-1979,0,18.3,7.8,0.73,13.93,4.34
19-01-1979,0,21.4,10,0.69,13.82,4.06
20-01-1979,0,17.2,10,0.7,9.43,4.26
21-01-1979,7.5,19.5,7.8,0.71,5.54,4.64
22-01-1979,0,21.5,9.4,0.67,14.83,4.27
23-01-1979,0,21.6,8.3,0.71,14.12,3.66
24-01-1979,0,22.3,8.9,0.68,15.02,4.31
25-01-1979,0,19.1,7.8,0.62,15.27,4.04
26-01-1979,0,17.9,7.8,0.64,14.73,3.5
27-01-1979,0,23.9,7.8,0.65,13.01,4.16
28-01-1979,0,15.4,8.9,0.59,15.05,4.59
29-01-1979,4.5,20.3,10,0.78,7.9,3.4
30-01-1979,39.4,16.7,6.7,0.9,6.77,4.54
31-01-1979,0,15.4,7.8,0.72,13.77,3.92
01-02-1979,0,22,8.9,0.73,15.73,3.04
02-02-1979,0,20.3,7.8,0.72,5.63,5.68
03-02-1979,0,18.9,8.9,0.65,15.28,4.44
04-02-1979,0,21.4,10,0.72,16.39,3.8
05-02-1979,0,18.7,11.1,0.67,15.49,3.61
06-02-1979,0,20.4,10,0.64,16.25,4.41
07-02-1979,0,24.5,10,0.6,13.21,4.36
08-02-1979,9,25.2,10,0.64,10.16,3.48
09-02-1979,0,20.4,10,0.66,16.67,4.11
10-02-1979,0,24.7,8.9,0.66,16.75,4.29
11-02-1979,0,21.6,10,0.63,14.35,4.17
12-02-1979,0,18,11.1,0.67,16.98,4.34
13-02-1979,0,25.3,10,0.5,16.9,3.69
14-02-1979,0,19.2,12.2,0.53,16.63,6.07
15-02-1979,0,14.1,11.1,0.5,16.69,4.74
16-02-1979,6,17.9,10,0.55,15.79,3.2
17-02-1979,17.5,16.1,11.1,0.74,7.63,4.18
18-02-1979,0,19.6,11.1,0.7,15,4.07
19-02-1979,5,18.1,10,0.57,17.51,4.61
20-02-1979,36,18.6,8.9,0.91,1.73,5.44
21-02-1979,5,20.9,7.8,0.77,14.57,4.23
22-02-1979,0,24.2,8.9,0.71,18.19,3.3
23-02-1979,0,18.3,13.3,0.72,13.11,4.57
24-02-1979,0,19.6,11.1,0.59,18.88,4.39
25-02-1979,0,20.2,10,0.56,19.13,4.43
26-02-1979,0,19,10,0.62,18.02,4.96
27-02-1979,0,21.7,11.1,0.55,19.32,5.78
28-02-1979,0,25.2,10,0.55,17.33,5.14
01-03-1979,0,27.7,10,0.52,19.91,4.27
02-03-1979,0,26.4,8.9,0.84,2.56,6.27
03-03-1979,0,22,10,0.74,5.54,5.12
